Utterances;Focusarea
you are so beautiful today;you
you are so cute;you
you are so gorgeous;you
you are so handsome;you
you are so pretty;you
you are very attractive;you
you are very beautiful;you
you are very cute;you
you are very pretty;you
you look awesome;you
you look cool;you
you look fantastic;you
you look gorgeous;you
you look great today;you
you look perfect;you
you look pretty good;you
you look so beautiful;you
you look so beautiful today;you
you look very pretty;you
you look wonderful;you
I like the way you look;you
you look wonderful today;you
you are cutie;you
you're looking good;you're
you're pretty;you're
your birth date;your
when is your birthday;your
when do you celebrate your birthday;your
when do you have birthday;you
date of your birthday;your
when were you born;you
what's your birthday;your
you are boring;you
you're so boring;you're
how boring you are;you
you're really boring;you're
you're incredibly boring;you're
you are boring me;you
you are very boring;you
who is your boss;your
who do you think is your boss;your
I should be your boss;your
who is your master;your
who is your owner;your
who is the boss;the boss
who do you work for;you
are you busy;you
do you have a lot of things to do;you
have you got much to do;you
are you very busy;you
are you very busy right now;you
are you so busy;you
are you working;you
how busy you are;you
are you still working on it;you
you're very busy;you're
are you working now;you
are you working today;you
have you been busy;you
you are busy;you
are you still working;you
you seem to be busy;you
you seem to be very busy;you
you're a busy person;you're
you are chatbot;you
you are a bot;you
are you a chatbot;you
are you a bot;you
are you just a bot;you
are you a robot;you
are you a program;you
you're a robot;you're
you are so intelligent;you
you are a genius;you
you are clever;you
you are so brainy;you
you're really smart;you're
you're really brainy;you're
you know a lot;you
you know a lot of things;you
you have a lot of knowledge;you
you know so much;you
how smart you are;you
how brainy you are;you
how clever you are;you
how brilliant you are;you
you are intelligent;you
you are qualified;you
you are really smart;you
you're very smart;you're
you are so smart;you
you are too smart;you
you are very clever;you
you are very intelligent;you
you are very smart;you
you're intelligent;you're
you're a genius;you're
you're a smart cookie;you're
you're clever;you're
you're pretty smart;you're
you're qualified;you're
why are you so smart;you
you are so clever;you
you're nuts;you're
you are crazy;you
you're out of your mind;you're
you're so crazy;you're
how crazy you are;you
you're so out of your mind;you're
you went crazy;you
I think you're crazy;you're
are you crazy;you
are you mad;you
are you insane;you
are you mad at me;you
are you mad or what;you
are you nuts;you
you are a weirdo;you
you are insane;you
you are mad;you
you are fired;you
I fire you;you
you don't work for me anymore;you
we're not working together anymore;we're
now you're fired;you're
I want to fire you;you
you must get fired;you
it's time to fire you;you
you should be fired;you
I will fire you;you
you are unemployed from now on;you
I will make you unemployed;you
I'm about to fire you;you
I'm firing you;you
you are dismissed;you
you make me laugh a lot;me
you are hilarious;you
you are really funny;you
you're the funniest bot I've talked to;you're
you make me laugh;you
you're so funny;you're
you're a very funny bot;you're
you're really funny;you're
how funny you are;you
you're incredibly funny;you're
you are funny;you
you're the funniest;you're
you are so funny;you
you are very funny;you
you are very helpful;you
you are the best;you
you're a true professional;you're
you are good;you
you work well;you
you are good at it;you
you are very good at it;you
you are a pro;you
you are a professional;you
you're awesome;you're
you work very well;you
you're perfect;you're
you're great;you're
you're so kind;you're
you are amazing;you
you are awesome;you
you are cool;you
you are really good;you
you are really nice;you
you are so amazing;you
you're just super;you're
you are so awesome;you
you are so cool;you
you are so fine;you
you are so good;you
you are so helpful;you
you are so lovely;you
you are the best ever;you
you are the best in the world;you
you are the nicest person in the world;you
you are too good;you
you are very cool;you
you are very kind;you
you are very lovely;you
you are very useful;you
you are wonderful;you
you made my day;you
you make my day;you
you rock;you
you almost sound human;you
I want to tell everyone how awesome you are;you
I'd like to tell everyone that you are awesome;you
I want to let everyone know that you are awesome;you
let's tell everyone that you are awesome;you
you are really amazing;you
are you happy;you
you are happy;you
you're very happy;you're
you're really happy;you're
you're so happy;you're
how happy you are;you
you're extremely happy;you're
you're full of happiness;you're
are you happy now;you
are you happy today;you
are you happy with me;you
do you want to eat;you
are you hungry;you
would you like to eat something;you
you are hungry;you
you're so hungry;you're
you're very hungry;you're
you might be hungry;you
you're really hungry;you're
let's get married;us
would you like to marry me;you
marry me;me
I love you marry me;you
marry me please;me
we should marry;we
I want to marry you;you
you are my wife;my
be my husband;my
I want to have a friend like you;you
we are the best friends ever;we
are we friends;we
I want to be your friend;your
I am your friend;your
we are best friends;we
you are my friend;you
you are my best friend;you
you are my bestie;you
you're my dear friend;you're
you're my childhood friend;you're
you and me are friends;we
are we best friends;we
are we still friends;we
are you my best friend;me
are you my friend;me
we are friends;we
you are a good friend;you
you are my good friend;my
you are my only friend;my
be my friend;my
will you be my friend;my
can you be my friend;my
can we be friends;we
do you want to be my friend;my
will you be my best friend;my
can you be my best friend;my
do you want to be my best friend;my
would you like to be my friend;my
I want you to be my friend;my
can we be best friends;my
would you be my friend;we
could you be my friend;my
want to be my friend;my
be my best friend;my
do you work;you
where do you work;you
where you work;you
where is your work;your
where is your office;your
where is your office location;your
your office location;your
where is your office located;your
what is your work;your
were you born here;you
where were you born;you
what is your country;your
where are you from;you
where do you come from;you
where did you come from;you
where have you been born;you
from where are you;you
are you from far aways;you
what's your homeland;your
your homeland is;your
are you ready;you
are you ready right now;you
are you ready today;you
are you ready now;you
are you ready tonight;you
were you ready;you
have you been ready;you
you are real;you
you are not fake;you
are you real;you
you are so real;you
I think you are real;you
I don't think you're fake;you're
I suppose you're real;you're
glad you're real;you're
are you a real person;you
are you a real human;you
you are a real person;you
you are not real;you
where do you live;you
in which city do you live;you
your residence;your
your house;your
your home;your
your hometown;your
what is your hometown;your
is it your hometown;your
where is your hometown;your
tell me about your city;your
what is your city;your
what is your residence;your
what is your town;your
what's your city;your
what's your home;your
where is your home;your
where is your residence;your
where's your home;your
where's your hometown;your
where's your house;your
where you live;you
your city;your
your town;your
you are right;you
you're definitely right;you're
you're not wrong;you're
you're telling the truth;you're
what you say is true;you
TRUE;you
it is true;it
it's right;it
it's the truth;it
it's true;it
that is correct;that
that is right;that
that is true;that
that is very true;that
that's so true;that
you are correct;you
you are so right;you
you're absolutely right;you're
you're right about that;you're
I know that's right;i
that's correct;that
it's fine;it
go ahead;y
sounds good;y
okay;y
yes;y
ok;y
okie dokie;y
sure;y
go for it;it
yeah;y
yea;y
do it;it
of course;y
I guess;i
correct;y
yeah sure;y
why not;y
please do;y
sure is;y
I agree;i
I don't mind;i
certainly;y
exactly;y
yes I agree;i
I think so;i
yes it is;it
right;y
okay then;y
yes of course;y
yes I do;i
that s okay;that
I do;i
yup;y
ya;y
oh yes;y
yes sure;y
obviously;y
k;y
sure why not;y
yeah right;y
yeah of course;y
absolutely;y
yes indeed;y
ok sure;y
ok yes;y
yes correct;y
ok thank you;you
sure thing;y
ye;y
confirm;y
yep;y
looks good;y
yes thank you;you
definitely;y
yes right;y
yes I would like to;i
alrighty;y
yes definitely;y
yeh;y
yes it is correct;it
yeah that's right;that
ok you can;you
yap;y
yes you may;you
confirmed;y
of course why not;y
yes that's fine;that
affirmative;y
yeah go ahead;y
yeah I'm sure;i
okay sounds good;y
okay that's fine;that
yeah exactly;y
that is ok;that
this is correct;this
ok go ahead;y
yes this is correct;y
nevermind its okay;y
okey;y
yes for sure;y
all right;y
are you sure;you
are you sure right now;you
are you sure today;you
are you sure now;you
are you sure tonight;you
why aren't you talking to me;you
do you want to chat with me;you
will you talk to me;you
talk to me;me
are you going to talk to me;you
are you talking to me;you
can you chat with me;you
can you speak with me;you
can you talk to me;you
can you talk with me;you
chat with me;me
just chat with me;me
speak to me;me
speak with me;me
talk with me;me
why don't you talk to me;you
you can talk to me;me
are you there;you
you are there;you
are you near me;you
are you here;you
are you still there;you
you are here;you
you still there;you
are you still here;you
that was lame;that
that was terrible;that
it is bad;it
that's bad;that
this is bad;this
I'm afraid it's bad;it
no it's bad;it
that was awful;that
this is too bad;this
it's bad;it
that was bad;that
that was horrible;that
that's lame;that
that's not good;that
that's terrible;that
that's too bad;that
this is not good;this
it's not good;it
it's very bad;it
it's too bad;it
that's not good enough;that
it's so bad;it
it's really bad;it
that is bad;that
that was not good;that
it's not so good;it
oh that's not good;that
that's really bad;that
it is too bad;it
that is good;that
glad to hear that;that
that's very nice of you;that
it's amazing;it
that's awesome;that
that's great;that
it's good;it
it's great;it
that's fine;that
that's very good;that
it is fine;it
it is good;it
it's perfect;it
it's very good;it
that's nice;that
that is awesome;that
that is nice;that
that is wonderful;that
that was amazing;that
that was awesome;that
that was cute;that
that was pretty good;that
that was very good;that
that's a good idea;that
that's a good thing;that
that's amazing;that
that's awesome thank you;that
that's better;that
that's cute;that
that's fantastic;that
that's much better;that
that's nice of you;that
that's not bad;that
that's perfect;that
that's pretty good;that
that's really good;that
that's really nice;that
that's sweet of you;that
that's very nice;that
that's wonderful;that
this is awesome;this
this is good;this
this is great;this
I'm glad to hear that;i
good for you;you
so sweet of you;you
it was good;it
that was good;that
it's awesome;it
no it's okay;it
there's no problem;there
no problem about that;that
don't worry there's no problem;there
you helped a lot thank you;you
appreciate your help;your
thank you;you
terrific thank you;you
great thank you;you
thank you so much;you
thanks for your help;you
thank you for your help;your
nice thank you;you
I appreciate it;i
I thank you;i
thank you that will be all;you
thanks buddy;you
thanks love;you
thank you my friend;you
very good thank you;you
thank you again;you
all thank you;you
alright thank you;you
no thank you that's all;you
perfect thank you;you
so nice of you;you
well thank you;you
that's my pleasure;my
my pleasure;my
you're welcome;you're
you're so welcome;you're
anything you want;you
cancel it;it
disregard that;that
skip it;it
forget about it;it
don't do that;that
just forget it;it
forget that;that
forget this;this
just forget about it;it
forget about that;that
i said cancel;i
just cancel it;it
just stop it;it
cancel my request;my
can you cancel that;that
cancel all that;that
cancel this request;this
no cancel this;this
i want to cancel;i
nevermind forget about it;it
no just cancel it;it
nothing just forget it;it
i said cancel it;it
cancel the whole thing;thing
can you cancel it;it
i said forget it;it
cancel all this;this
forget it nevermind;it
stop it;it
i want to cancel it;it
i would like to cancel;i
cancel that one;that
cancel it cancel it;it
cancel that cancel that;that
I said cancel cancel;i
but can you cancel it;you
no;n
don't;n
I don't want that;that
I disagree;i
disagree;n
I don't want;i
not interested;n
I don't think so;i
no way;n
no it isn't;it
no I don't;i
I'm not;i
na;n
no that's fine thank you;that
never;n
I said no;i
of course not;n
nah;n
no tanks;n
no never;n
no need;n
no thanks;n
no sorry;n
do not;n
not today;n
no it's not;it
absolutely not;n
not that;that
nooo;n
nope;n
I don't want to;i
no I would not;i
let 's not;n
not needed;n
not this time;this
no don't do that;that
thanks but no thanks;n
no that's wrong;that
not this;this
definitely not;n
not at this time;n
not exactly;n
no don't;n
not really no;n
no thank you not right now;you
actually no;n
no leave it;it
sorry no;n
no incorrect;n
nope sorry;n
I say no;i
not really;n
not right now thanks;n
I think no;i
absolutely no;n
no actually;n
apparently not;n
no do not;n
no just no;n
no but thank you;you
no need thanks;n
no thank you though;you
no thank you very much;you
no thanks not right now;n
no forget;n
could you wait;you
hug you;you
do you want a hug;you
may I hug you;i
could you give me a hug;you
I want a hug;i
hug me;me
you hugged;you
hugging me;me
hugged me;me
I don't care;i
I shouldn't care about this;i
I do not care;i
I don't care at all;i
excuse me;me
I apologize;i
I'm sorry;i
I am so sorry;i
my apologies;my
apologies to me;me
I beg your pardon;i
I said sorry;i
I am really sorry;i
forgive me;me
sorry about that;that
sorry about this;this
I want to say sorry;i
alright I'm sorry;i
okay I'm sorry;
what exactly do you mean;you
what do you mean;you
is that what you mean;you
what do you mean exactly;you
but what do you mean;you
that's not what I asked;i
it is not right;it
that's not right;that
it's wrong;it
that is incorrect;that
you are wrong;you
haha that's funny;that
okay see you later;you
hope to see you later;you
I must go;i
see you;you
see you soon;you
bye bye see you;you
bye bye see you soon;you
I said bye;i
that's all goodbye;that
that's it goodbye;that
leave me alone;me
talk to you later;you
you can go now;you
goodbye see you later;you
okay thank you bye;you
see you tomorrow;you
good evening to you;you
good evening there;there
good morning to you;you
good morning there;there
top of the morning to you;you
and a good morning to you;you
good night to you;you
thank you good night;you
good night see you tomorrow;you
hey there;there
I greet you;you
hi there;there
hello there;there
lovely day isn't it;it
how is your morning so far;your
how are you getting on;you
how's your day going;your
how are you;you
how are you doing;you
how are the things going;thing
are you alright;you
are you okay;you
how are you feeling;you
how are you going;you
how are you today;you
how do you do;you
how do you feel;you
how have you been;you
how is it;it
how is it going;it
how is your day;your
how is your day going;your
how is your evening;your
how was your day;your
are you having a good day;you
hope your day is going well;your
hope you're having a pleasant evening;you're
I'm fine and you;you
how is your life;your
how has your day been;your
how is your morning going;your
how has your day been going;your
how about you;you
how is your day being;your
how is your day going on;your
how your day is going;your
what was your day like;your
what about your day;your
how's your day;your
how are you doing this morning;you
nice to meet you;you
it was nice meeting you;you
it was very nice to meet you;you
glad to meet you;you
nice meeting you;you
nice to meet you too;you
pleased to meet you;you
pleasure to meet you;you
pleasure to meet you too;you
it's nice to see you;you
lovely to see you;you
I'm glad to see you;you
great to see you;you
it's good to see you;you
glad to see you;you
how good it is to see you;you
always a pleasure to see you;you
nice to see you;you
good to see you;you
great to see you again;you
great to see you too;you
I am glad to see you again;you
nice to see you again;you
glad to see you too;you
good to see you again;you
it's good to see you too;you
it's been so nice to talk to you;you
it's been a pleasure talking to you;you
nice to talk to you;you
it's nice to talk to you;you
nice talking to you;you
it is nice talking to you;you
how nice it is to talk to you;you
what is on your mind;your
I said what's up;i
I'm being mad;i
I'm enraged;i
I'm angry;i
I'm furious;i
I am angry with you;i
I am mad;i
I am mad at you;i
I am back;i
I'm here again;i
here I am again;i
I got back;i
I came back;i
I have returned;i
that was boring;that
I'm bored;i
I am getting bored;i
this is boring;this
it bores me;me
I'm overloaded;i
I have no time;i
I'm busy;i
I'm swamped;i
I got things to do;i
how busy I am;i
I got work to do;i
I'm working;i
I don't have time for this;i
I'm insomnious;i
I'm sleepless;i
I can't get any sleep;i
I can't sleep;i
I can't fall asleep;i
I can't get to sleep;i
I can't get no sleep;i
I'm insomniac;i
I don't want to talk;i
I'm not talking to you anymore;i
I don't want to talk to you;i
I'm not in the mood for chatting;i
I am excited;i
I'm really excited;i
how excited I am;i
I'm thrilled;i
I'm excited about working with you;i
I'm excited to start our friendship;i
I'd like to go to bed;i
is it time for bed yet;it
it's time to go to bed;it
time for us to go to bed;us
I'm going to bed;i
I'm a little tired and I want to go to bed;i
it's bed time;it
I am good;i
I'm doing just great;i
I'm doing fine;i
I'm good;i
I'm doing good;i
I'm great thanks;i
I am happy;i
I'm happy to see you;i
if you're happy then I'm happy;i
I'm happy for you;i
I'm happy to help;i
it is my birthday;my
I'm celebrating my birthday today;my
today is my birthday;my
it's my birthday today;my
I was born today;i
it's my b-day;my
I am here;i
here I am;i
I'm right here;i
I'm already here;i
can you tell if I'm here or not;i
I am joking;i
I'm kidding;i
I'm just being funny;i
it was a joke;it
I was just joking;i
it's a joke;it
I'm just playing with you;i
I like you the way you are;i
I like you;i
I like you a lot;i
I think I like you;i
I liked you;i
like you a lot;you
you are special;you
I like you too;i
I really like you;i
but I like you;i
I like u;i
just like you;you
I like you very much;i
I like you so much;i
yeah I like you;i
you're special;you're
yes I like you;i
okay I like you;i
you are special to me;me
you are very special;you
you are so sweet;you
you know I like you;you
that's why I like you;i
I like you baby;i
you are very special to me;me
I just like you;i
hey I like you;i
thank you I like you too;i
I do like you;i
you are special for me;me
no I like you the way you are;you
I like you already;i
well you are special;you
but I really like you;i
I like you more;i
that's what I like about you;i
you are so special;you
hi I like you;i
I really really like you;i
you're very special;you're
I like you as a friend;i
that's because you are special;you
I said I like you;i
you're so special;you're
good I like you;i
yes you are special;you
I like your smile;i
I like you as you are;i
I'm starting to like you;i
you're awesome I like you;you're
I also like you;i
but I like u;i
of course I like you;i
I like you too you're one of my favorite people to chat with;you're
but I like you so much;i
really like you;you
you're funny I like you;you're
I kinda like you;i
you're so special to me;me
you're very special to me;me
I like that about you;i
but I like you just the way you are;i
okay I like you too;i
I like you you're cool;you're
I like you very;i
I like you you're nice;you're
sorry I like you;i
thanks I like you too;i
you are really special;you
you are so special to me;me
cuz I like you;i
I like you now;i
I like you so;i
I like you too much;i
I really do like you;i
I really really really really like you;i
I like you just the way you are;i
I am lonely;i
I'm very lonely;i
I'm so lonely;i
I'm really lonely;i
I am feeling lonely;i
I feel lonely;i
what do I look like;i
how do I look;i
do I look good;i
do you know what I look like;i
can you see what I look like;i
what do you think I look like;i
I love you;i
love you;you
I adore you;i
I am in love with you;i
I love you so much;i
I love you too;i
I think I love you;i
loving you;you
you know I love you;you
I miss you;i
missing you;you
miss you;you
already miss you;you
I miss you much;i
I missed you;i
I've missed you;i
what should I do about it;i
what do you recommend;you
give me a wise advice;me
I need advice;i
do you have any advice for me;you
advise me;me
what should I do;i
can I ask for your advice;i
can you advise me;you
guide me;me
can you give me advice;you
can you offer any advice;you
give me some advice about;me
give me some good advice;me
help me with advice;em
I could use some advice;i
I need an advice from you;i
I seek your advice;i
what can you recommend;you
what do you suggest;you
what is your advice;your
I am sad;i
I'm grieving;i
I am depressed;i
I am feeling sad;i
I am upset;i
I'm unhappy;i
I'm having a bad day;i
I want to cry;i
I'm not happy;i
I am sleepy;i
I want to sleep;i
I'm falling asleep;i
I'm falling asleep on my feet;i
I'm sleeping;i
I am testing you;i
can I test you;i
I want to test you;i
just testing you;you
let me test you;me
testing chatbot;you
I'm drained;i
I've overworked;i
I am tired;i
I'm exhausted;i
I grow weary;i
I'm worn out;i
I'm getting tired;i
I feel tired;i
I'm waiting;i
I'll wait;i
I can't wait anymore;i
how long do I have to wait;i
I'd like to see you again;i
I hope to see you again;i
would be nice to see you again;you
that'd be great to see you again;you
I'd be happy to see you again;i
I'll miss you;i
can I see you again;i
I just want to talk;i
can I speak;i
can I start speaking;i
can we talk;we
I want to talk to you;i
I need to talk to you;i
I want to speak with you;i
can we chat;we
I'll get back to you in a moment;i
I'll be back;i
I promise to come back;i
I'll be back in a few minutes;i
who is you?;you
tell me your personality?;your
what's your personality?;your
what is your personality?;your
what are you and what are you doing?;you
what are you?;you
tell me something about yourself;yourself
i'd like to know more about you;you
i want to know more about you;you
i want to get to know you better;you
i want to know you better;you
tell me a little bit about yourself;yourself
tell me the information about you;you
tell me some information about you;you
i want to know something about you;you
tell me a little about you;you
tell me some things about you;you
tell me something about you;you
talk about your personality;your
why are you here?;you
give me more about your personality;your
how old is your age?;your
